Date,Predicted_Close
2026-03-10,1400.0595703125
2026-03-11,1400.588623046875
2026-03-12,1401.12109375
2026-03-13,1401.6702880859375
2026-03-16,1402.2183837890625
2026-03-17,1402.7716064453125
2026-03-18,1403.33203125
2026-03-19,1403.882080078125
2026-03-20,1404.4490966796875
2026-03-23,1404.995361328125
2026-03-24,1405.501220703125
2026-03-25,1405.93994140625
2026-03-26,1406.3504638671875
2026-03-27,1406.7225341796875
2026-03-30,1407.0787353515625
2026-03-31,1407.4429931640625
2026-04-01,1407.78173828125
2026-04-02,1408.0833740234375
2026-04-03,1408.2442626953125
2026-04-06,1408.35595703125
2026-04-07,1408.458984375
2026-04-08,1408.551513671875
2026-04-09,1408.6600341796875
2026-04-10,1408.788330078125
2026-04-13,1408.91162109375
2026-04-14,1409.0272216796875
2026-04-15,1409.1424560546875
2026-04-16,1409.237060546875
2026-04-17,1409.3485107421875
2026-04-20,1409.662841796875
